plotcode,year,species_other,AGB.mix,Richness,biomass,AGB.mono
B3A09,2005,Hol.lan,0,16,362.825,22.6765625
B3A09,2005,Poa.pra,0.8025,16,120.125,7.5078125
B3A09,2005,Poa.tri,0.304166667,16,88.7775,5.54859375
B3A11,2005,Bro.ere,50.61666667,4,271.475,67.86875
B3A11,2005,Pla.lan,4.511666667,4,87.125,21.78125
B3A11,2005,Poa.tri,2.446666667,4,88.7775,22.194375
B3A11,2005,Pru.vul,90.43,4,30.34,7.585
B3A13,2005,Alo.pra,362.4666667,4,264.3,66.075
B3A13,2005,Ant.odo,0.07,4,113.515,28.37875
B3A13,2005,Bro.ere,53.85833333,4,271.475,67.86875
B3A13,2005,Poa.tri,0.770833333,4,88.7775,22.194375
B3A16,2005,Aju.rep,0.775,16,13.175,0.8234375
B3A16,2005,Gle.hed,53.36666667,16,16.3725,1.02328125
B3A16,2005,Lat.pra,1,16,329.075,20.5671875
B3A16,2005,Leo.his,0.933333333,16,220.725,13.7953125
B3A16,2005,Med.lup,0,16,21.575,1.3484375
B3A16,2005,Pla.med,0,16,142.525,8.9078125
B3A16,2005,Pru.vul,0,16,30.34,1.89625
B3A16,2005,Ran.rep,0.933333333,16,33.75,2.109375
B3A16,2005,Tar.off,183.9833333,16,198.425,12.4015625
B3A16,2005,Tri.fra,0,16,108,6.75
B3A16,2005,Tri.hyb,0,16,50.95,3.184375
B3A16,2005,Tri.rep,0.023333333,16,176.325,11.0203125
B3A16,2005,Ver.cha,13.88,16,133.075,8.3171875
B3A16,2005,Vic.cra,4.719166667,16,51.925,3.2453125
B3A19,2005,Tar.off,86.89166667,2,198.425,99.2125
B3A20,2005,Kna.arv,339.4416667,8,285.1,35.6375
B3A20,2005,Lot.cor,137.3916667,8,168.65,21.08125
B3A20,2005,Tri.fra,0,8,108,13.5
B3A20,2005,Tri.hyb,4.6025,8,50.95,6.36875
B3A21,2005,Lot.cor,152.5083333,2,168.65,84.325
B3A21,2005,Tri.pra,133.075,2,210.755,105.3775
B3A22,2005,Aju.rep,1.666666667,16,13.175,0.8234375
B3A22,2005,Ant.odo,2.72,16,113.515,7.0946875
B3A22,2005,Bel.per,0.223333333,16,9.9475,0.62171875
B3A22,2005,Bro.ere,0.105833333,16,271.475,16.9671875
B3A22,2005,Cre.bie,65.575,16,129,8.0625
B3A22,2005,Fes.rub,16.59083333,16,160.45,10.028125
B3A22,2005,Gal.mol,41.33333333,16,263.55,16.471875
B3A22,2005,Ger.pra,3.341666667,16,178.775,11.1734375
B3A22,2005,Ran.rep,0.1,16,33.75,2.109375
B3A22,2005,Rum.ace,34.13083333,16,112.575,7.0359375
B3A22,2005,Tri.fra,0,16,108,6.75
B3A22,2005,Ver.cha,13.54166667,16,133.075,8.3171875
B3A22,2005,Vic.cra,3.066666667,16,51.925,3.2453125
B3A23,2005,Bro.hor,0,4,166.3275,41.581875
B3A23,2005,Leu.vul,258.7416667,4,182.6725,45.668125
B3A23,2005,Ran.rep,0.143333333,4,33.75,8.4375
B3A23,2005,Tri.fra,34.975,4,108,27
B3A24,2005,Aju.rep,0,16,13.175,0.8234375
B3A24,2005,Ant.odo,0.233333333,16,113.515,7.0946875
B3A24,2005,Arr.ela,20.23333333,16,506.95,31.684375
B3A24,2005,Ave.pub,4.873333333,16,319.9,19.99375
B3A24,2005,Bro.hor,0.3,16,166.3275,10.39546875
B3A24,2005,Gle.hed,5.975,16,16.3725,1.02328125
